id,snapshot_url
52589,ftp://ee220cpc3.ecn.purdue.edu/NYS/12775.jpg
52590,ftp://ee220cpc3.ecn.purdue.edu/NYS/12776.jpg
52591,ftp://ee220cpc3.ecn.purdue.edu/NYS/12777.jpg
52592,ftp://ee220cpc3.ecn.purdue.edu/NYS/12778.jpg
52593,ftp://ee220cpc3.ecn.purdue.edu/NYS/12779.jpg
52594,ftp://ee220cpc3.ecn.purdue.edu/NYS/12780.jpg
52595,ftp://ee220cpc3.ecn.purdue.edu/NYS/12824.jpg
52596,ftp://ee220cpc3.ecn.purdue.edu/NYS/12825.jpg
52597,ftp://ee220cpc3.ecn.purdue.edu/NYS/12826.jpg
52598,ftp://ee220cpc3.ecn.purdue.edu/NYS/12827.jpg
52599,ftp://ee220cpc3.ecn.purdue.edu/NYS/12828.jpg
52600,ftp://ee220cpc3.ecn.purdue.edu/NYS/12829.jpg
52601,ftp://ee220cpc3.ecn.purdue.edu/NYS/12830.jpg
52602,ftp://ee220cpc3.ecn.purdue.edu/NYS/12831.jpg
52603,ftp://ee220cpc3.ecn.purdue.edu/NYS/12832.jpg
52604,ftp://ee220cpc3.ecn.purdue.edu/NYS/12833.jpg
52605,ftp://ee220cpc3.ecn.purdue.edu/NYS/12834.jpg
52606,ftp://ee220cpc3.ecn.purdue.edu/NYS/12835.jpg
52607,ftp://ee220cpc3.ecn.purdue.edu/NYS/12836.jpg
52608,ftp://ee220cpc3.ecn.purdue.edu/NYS/12837.jpg
52609,ftp://ee220cpc3.ecn.purdue.edu/NYS/12838.jpg
52610,ftp://ee220cpc3.ecn.purdue.edu/NYS/12839.jpg
52611,ftp://ee220cpc3.ecn.purdue.edu/NYS/12840.jpg
52612,ftp://ee220cpc3.ecn.purdue.edu/NYS/12841.jpg
52613,ftp://ee220cpc3.ecn.purdue.edu/NYS/12842.jpg
52614,ftp://ee220cpc3.ecn.purdue.edu/NYS/12843.jpg
52615,ftp://ee220cpc3.ecn.purdue.edu/NYS/12844.jpg
52616,ftp://ee220cpc3.ecn.purdue.edu/NYS/12845.jpg
52617,ftp://ee220cpc3.ecn.purdue.edu/NYS/12846.jpg
